RecA (998)	SSBa (1008)	RecJ (832)	RecQ (953)	RecF (801)	RecO (916)	RecR (986)	RecB (266)	RecC (265)	RecD (704)	AddA (548)	AddB (486)	AdnA (144)	AdnB (141)	I-A (14)	I-B (226)	I-C (192)	I-D (28)	I-E (253)	I-F (127)	I-G (55)	I (1)	III-A (108)	III-B (112)	III-C (27)	III-D (80)	III-F (2)	III (1)	IV-A (6)	IV-B (3)	IV-C (0)	IV-D (3)	IV-E (0)	IV (1)	II-A (94)	II-B (2)	II-C (123)	V-A (7)	V-B (1)	V-F (2)	V-K (7)	VI-A (6)	VI-B (10)	VI-C (1)	VI-D (1)	Cluster (83)
IV-D (3)	0.00668159733382728	0.00383843929465679	0.0254201181488641	0.0136750560590604	-0.0166201847635884	0.0177352808729723	0.00901868804644485	-0.0325222405602518	-0.0324393451454293	0.0361071201068742	0.0502037476211105	0.0203893593082331	-0.0221856061185189	-0.0219154934823182	-0.00645180472426449	0.0144305175401466	-0.0263559682841217	-0.00918884320374598	-0.0314451307525642	-0.0206340719229678	-0.0130586574772527	-0.00171320638462133	0.0400370195687669	-0.0192152728784781	-0.00901868804644486	0.0514010942197874	-0.00242403764734232	-0.00171320638462133	-0.00420688684182477	-0.00297029702970297	NA	1	NA	-0.00171320638462133	-0.0174303501517153	-0.00242403764734232	-0.0202608421426587	-0.0045462149952704	-0.00171320638462133	-0.00242403764734232	-0.0045462149952704	-0.00420688684182477	-0.00544188642965744	-0.00171320638462133	-0.00171320638462133	0.0499564448064157
IV-E (0)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IV (1)	0.00385380825463317	0.00221393303121771	-0.0673956892957197	0.00788749176131375	-0.0611023721972792	0.010229346129625	0.00520179422716607	-0.0187581610905714	-0.0187103487160817	0.0208258460614533	-0.034125069657169	-0.0301871818352438	-0.0127962024231433	-0.0126404069965317	-0.00372126859213313	-0.0168452165038991	-0.0152015817562023	-0.00529993623079378	-0.0181369062527503	-0.0119013093322519	-0.00753196570608617	-0.000988142292490119	-0.0108591874989311	-0.0110829751531421	-0.00520179422716606	-0.00920479064649945	-0.00139813518057641	-0.000988142292490119	-0.00242644601692053	-0.00171320638462133	NA	-0.00171320638462133	NA	1	0.0982886958500217	-0.00139813518057641	-0.0116860380525913	-0.00262216353377202	-0.000988142292490119	-0.00139813518057641	-0.00262216353377202	-0.00242644601692053	-0.00313876844047668	-0.000988142292490119	-0.000988142292490119	-0.00939090215624984
II-A (94)	0.0110397165825578	-0.0260233305906413	-0.0284594093483879	-0.0350587918143526	-0.00274114628393295	-0.0231137143142955	0.0529236264880698	-0.18311568630537	-0.182619843043496	0.145377854558597	0.164881252229276	0.183211721529635	-0.130189970601187	-0.128604890798629	-0.0378605958696552	-0.14686807919797	-0.128619815479152	-0.053922134025269	-0.129507111753061	-0.121085229886579	-0.0766310473544096	-0.0100534683459217	-0.0663853096250592	-0.101909742280863	-0.0529236264880699	-0.0684196986799715	-0.0142247810746193	-0.0100534683459217	-0.0246869286028887	-0.0174303501517153	NA	-0.0174303501517153	NA	0.0982886958500217	1	-0.0142247810746193	-0.118895036214775	-0.0266781801416225	-0.0100534683459217	-0.0142247810746193	-0.0266781801416225	-0.0246869286028887	-0.0319341752714484	-0.0100534683459217	-0.0100534683459217	-0.0831387720457761
II-B (2)	0.00545280263879837	0.00313252219028626	0.0207451722088879	-0.0830498414635956	-0.0317863404520922	-0.0611026044600356	0.00736008524925358	0.0239968027408066	0.024125860883153	-0.0188339299466395	-0.00365654364055857	0.00180164756415073	-0.0181055106350006	-0.0178850736912789	-0.00526527057345578	-0.02383451249635	-0.0215089126488	-0.0074989476266733	-0.0256621408591718	-0.0168393149436118	-0.010657074707365	-0.00139813518057641	-0.0153648034196279	-0.0156814434366669	-0.00736008524925356	-0.013023976132304	-0.0019782393669634	-0.00139813518057641	-0.0034332095345064	-0.00242403764734232	NA	-0.00242403764734232	NA	-0.00139813518057641	-0.0142247810746193	1	-0.0165347248539571	-0.0037101327548207	-0.00139813518057641	-0.0019782393669634	-0.0037101327548207	-0.0034332095345064	-0.00444108365127714	-0.00139813518057641	-0.00139813518057641	-0.0132873076901878
II-C (123)	-0.00447115901501571	0.0261825709164833	0.126056195083146	0.00365281946331627	-0.091079346939792	-0.0639096065837133	0.0427531290671479	-0.0913379285160753	-0.0906139167553415	-0.0753644590813473	0.172621700832448	0.187476995286335	-0.125366131341039	-0.123294057087203	-0.0440087290080395	-0.133878542494587	-0.071816811567222	-0.0626784795469957	-0.200527477716355	-0.113366150643853	-0.0757368466503164	-0.0116860380525913	-0.0696643407118987	-0.111794104307823	-0.0427531290671478	-0.0752383738490601	-0.0165347248539571	-0.0116860380525913	-0.0286958069721274	-0.0202608421426587	NA	-0.0202608421426587	NA	-0.0116860380525913	-0.118895036214775	-0.0165347248539571	1	0.0054745448559937	-0.0116860380525913	-0.0165347248539571	-0.0310104152698064	-0.0286958069721274	0.146306824933917	-0.0116860380525913	-0.0116860380525913	-0.0559593782364303
V-A (7)	0.0102265792571061	0.00587495799420047	0.0389069918443368	-0.0295518454944899	0.0136203638161633	-0.0943474982241303	0.0138036345942526	0.0314649708146138	0.0316905631009815	-0.0482634516738702	-0.0188145378641528	-0.00854742251416305	-0.0339563801891083	-0.0335429568496821	-0.00987486809928258	-0.016077653707732	0.0204698269587081	-0.014064067109893	-0.0481286294017004	0.00440509169900115	-0.019987046361866	-0.00262216353377202	-0.0288162602516833	0.00859045298180753	-0.0138036345942526	-0.0244261039656877	-0.0037101327548207	-0.00262216353377202	-0.0064388887213822	-0.0045462149952704	NA	-0.0045462149952704	NA	-0.00262216353377202	-0.0266781801416225	-0.0037101327548207	0.0054745448559937	1	-0.00262216353377202	-0.0037101327548207	-0.00695825049701789	-0.0064388887213822	-0.00832912851531928	-0.00262216353377202	-0.00262216353377202	0.0619782509701282
V-B (1)	0.00385380825463317	0.00221393303121771	0.014661802599189	0.00788749176131375	0.0161719137401038	0.010229346129625	0.00520179422716607	-0.0187581610905714	-0.0187103487160817	0.0208258460614533	0.0289564915886561	0.0327338370929496	-0.0127962024231433	-0.0126404069965317	-0.00372126859213313	-0.0168452165038991	0.0650025969887609	-0.00529993623079378	-0.0181369062527503	-0.0119013093322519	-0.00753196570608617	-0.000988142292490119	-0.0108591874989311	-0.0110829751531421	-0.00520179422716606	-0.00920479064649945	-0.00139813518057641	-0.000988142292490119	-0.00242644601692053	-0.00171320638462133	NA	-0.00171320638462133	NA	-0.000988142292490119	-0.0100534683459217	-0.00139813518057641	-0.0116860380525913	-0.00262216353377202	1	-0.00139813518057641	-0.00262216353377202	-0.00242644601692053	-0.00313876844047668	-0.000988142292490119	-0.000988142292490119	0.105223361509787
V-F (2)	0.00545280263879837	0.00313252219028626	0.0207451722088879	0.0111601130746153	0.0228818477957336	0.0144736328024993	0.00736008524925358	0.0239968027408066	0.024125860883153	0.0294667562203119	-0.00365654364055857	0.00180164756415073	-0.0181055106350006	-0.0178850736912789	0.185224696959069	-0.02383451249635	-0.0215089126488	-0.0074989476266733	0.0257128565525694	-0.0168393149436118	-0.010657074707365	-0.00139813518057641	-0.0153648034196279	0.0552350842479024	-0.00736008524925356	-0.013023976132304	-0.0019782393669634	-0.00139813518057641	-0.0034332095345064	-0.00242403764734232	NA	-0.00242403764734232	NA	-0.00139813518057641	-0.0142247810746193	-0.0019782393669634	-0.0165347248539571	-0.0037101327548207	-0.00139813518057641	1	-0.0037101327548207	-0.0034332095345064	-0.00444108365127714	-0.00139813518057641	-0.00139813518057641	0.0677972868288497
V-K (7)	0.0102265792571061	0.00587495799420047	0.0389069918443368	0.0209304807886775	0.0429142673103743	0.0271448946161798	0.0138036345942526	-0.0497772095639854	-0.0496503332367573	-0.0223815689075227	-0.090555291401368	-0.0801055961244702	-0.0339563801891083	-0.0335429568496821	-0.00987486809928258	0.0125456559687751	-0.0403393657368089	0.34937725896974	-0.0481286294017004	-0.0315816654871937	-0.019987046361866	-0.00262216353377202	-0.0288162602516833	0.0845915784889781	-0.0138036345942526	0.0639440507387467	-0.0037101327548207	-0.00262216353377202	-0.0064388887213822	-0.0045462149952704	NA	-0.0045462149952704	NA	-0.00262216353377202	-0.0266781801416225	-0.0037101327548207	-0.0310104152698064	-0.00695825049701789	-0.00262216353377202	-0.0037101327548207	1	-0.0064388887213822	-0.00832912851531928	-0.00262216353377202	-0.00262216353377202	0.148876476897796
VI-A (6)	0.00946327038170332	0.00543645285315104	0.0360029853878894	0.0193682358433461	0.0397111589888253	0.0251188076459932	0.0127733353579474	-0.0460618532461264	-0.0459444469307387	-0.0326860484857717	0.071104500043439	0.00312673668230411	-0.0314218859341611	-0.0310393203914965	-0.00913781084151217	0.113142269807869	-0.0373284473132676	-0.0130143292670281	-0.044536322623482	-0.0292244192408864	-0.0184952190853602	-0.00242644601692053	0.0150198756325606	-0.0272149478069624	-0.0127733353579474	0.0728003242659684	-0.0034332095345064	-0.00242644601692053	-0.00595829195630586	-0.00420688684182477	NA	-0.00420688684182477	NA	-0.00242644601692053	-0.0246869286028887	-0.0034332095345064	-0.0286958069721274	-0.0064388887213822	-0.00242644601692053	-0.0034332095345064	-0.0064388887213822	1	0.122419915011428	-0.00242644601692053	-0.00242644601692053	0.0707542404745534
VI-B (10)	0.0122413662659946	0.00703241140524774	0.0465722433181794	0.0250540943375106	0.0513690111791837	-0.0014404042201137	0.0165231542847316	-0.0368928336340017	-0.0367133890909689	0.0227785246750797	0.0919783746087471	0.103976862020692	-0.040646288119598	-0.0401514142821601	-0.0118203628205108	-0.0535077127426607	-0.0482868160024341	-0.0168348958486875	-0.0576106795414649	-0.037803719582012	-0.0239247894080521	-0.00313876844047668	-0.0344934887109943	-0.0352043353489167	-0.0165231542847316	-0.0292384068590165	-0.00444108365127714	-0.00313876844047668	-0.00770744480659566	-0.00544188642965744	NA	-0.00544188642965744	NA	-0.00313876844047668	-0.0319341752714484	-0.00444108365127714	0.146306824933917	-0.00832912851531928	-0.00313876844047668	-0.00444108365127714	-0.00832912851531928	0.122419915011428	1	-0.00313876844047668	-0.00313876844047668	-0.0298295777234291
VI-C (1)	0.00385380825463317	0.00221393303121771	0.014661802599189	0.00788749176131375	-0.0611023721972792	0.010229346129625	0.00520179422716607	-0.0187581610905714	-0.0187103487160817	0.0208258460614533	0.0289564915886561	0.0327338370929496	-0.0127962024231433	-0.0126404069965317	-0.00372126859213313	0.0586601123387992	-0.0152015817562023	-0.00529993623079378	-0.0181369062527503	-0.0119013093322519	-0.00753196570608617	-0.000988142292490119	-0.0108591874989311	-0.0110829751531421	-0.00520179422716606	-0.00920479064649945	-0.00139813518057641	-0.000988142292490119	-0.00242644601692053	-0.00171320638462133	NA	-0.00171320638462133	NA	-0.000988142292490119	-0.0100534683459217	-0.00139813518057641	-0.0116860380525913	-0.00262216353377202	-0.000988142292490119	-0.00139813518057641	-0.00262216353377202	-0.00242644601692053	-0.00313876844047668	1	-0.000988142292490119	-0.00939090215624984
VI-D (1)	0.00385380825463317	0.00221393303121771	0.014661802599189	0.00788749176131375	0.0161719137401038	0.010229346129625	0.00520179422716607	-0.0187581610905714	-0.0187103487160817	0.0208258460614533	0.0289564915886561	0.0327338370929496	-0.0127962024231433	-0.0126404069965317	-0.00372126859213313	-0.0168452165038991	0.0650025969887609	-0.00529993623079378	-0.0181369062527503	-0.0119013093322519	-0.00753196570608617	-0.000988142292490119	-0.0108591874989311	-0.0110829751531421	-0.00520179422716606	-0.00920479064649945	-0.00139813518057641	-0.000988142292490119	-0.00242644601692053	-0.00171320638462133	NA	-0.00171320638462133	NA	-0.000988142292490119	-0.0100534683459217	-0.00139813518057641	-0.0116860380525913	-0.00262216353377202	-0.000988142292490119	-0.00139813518057641	-0.00262216353377202	-0.00242644601692053	-0.00313876844047668	-0.000988142292490119	1	-0.00939090215624984
Cluster (83)	0.00682490427252965	0.0210403184183754	0.00780035781171049	-0.0775183701705528	-0.0232685602246042	-0.0128719125409414	0.00474283045471978	-0.0146795329867752	-0.014026367798747	-0.0991415339973028	0.00794306130890752	-0.0347282389938351	-0.0288457216544628	-0.0265448454597809	0.0571264175887691	0.0301097029000251	-0.0067176209500704	0.169180730385681	-0.0559558782821142	-0.0696271361174682	0.0396085301669198	-0.00939090215624984	0.165036881788881	0.158660625286701	0.0399500742023134	0.152744985009227	-0.0132873076901878	0.105223361509787	-0.0230599553379107	-0.0162816161738187	NA	0.0499564448064157	NA	-0.00939090215624984	-0.0831387720457761	-0.0132873076901878	-0.0559593782364303	0.0619782509701282	0.105223361509787	0.0677972868288497	0.148876476897796	0.0707542404745534	-0.0298295777234291	-0.00939090215624984	-0.00939090215624984	1
