RecA (998)	SSBa (1008)	RecJ (832)	RecQ (953)	RecF (801)	RecO (916)	RecR (986)	RecB (266)	RecC (265)	RecD (704)	AddA (548)	AddB (486)	AdnA (144)	AdnB (141)	I-A (14)	I-B (226)	I-C (192)	I-D (28)	I-E (253)	I-F (127)	I-G (55)	I (1)	III-A (108)	III-B (112)	III-C (27)	III-D (80)	III-F (2)	III (1)	IV-A (6)	IV-B (3)	IV-C (0)	IV-D (3)	IV-E (0)	IV (1)	II-A (94)	II-B (2)	II-C (123)	V-A (7)	V-B (1)	V-F (2)	V-K (7)	VI-A (6)	VI-B (10)	VI-C (1)	VI-D (1)	Cluster (83)
0.511092903573541	0.0184213216415068	0.0452711093150306	0.276521268857988	0.022038337043004	0.657689059514475	0.763029920700567	0.0197332829626311	0.0202256775211693	0.306512854403067	0.0180559359370256	0.0135644681891356	0.102118235833202	0.0309552639349469	0.00806602052401661	0.205391433554664	0.10606784151345	NA	0.0270644159238973	0.382540961381551	0.685267795150438	0.866207652135781	0.52904563418206	1.05248121329282e-09	0.763029920700567	2.54125473997391e-08	0.811584336167256	0.866207652135781	0.679077885967833	0.770206753234546	NA	0.770206753234546	NA	0.866207652135781	0.0862820842712981	0.811584336167256	0.0461075314350892	0.654805887969856	0.866207652135781	0.811584336167256	0	0.679077885967833	0.592517281848845	0.866207652135781	0.866207652135781	6.05827348287846e-08
0.451700116565851	0.796922618950363	0	6.23703761446492e-05	0.00017967251637474	2.01723052775105e-05	0.00235014848191906	0.0102129987549053	0.0054542902459358	0.330907198389556	0	0	0	0	0.754559379303064	2.22044604925031e-16	0.000437621353076345	0.0270644159238973	NA	0.00123539172791576	0.231776767977196	0.564216446624766	0.00225499382744543	0.00265076000298725	0.00961843679925511	0.0317519954621752	0.414561992544867	0.0830611956383516	0.635639775494544	0.317389623513475	NA	0.317389623513475	NA	0.564216446624766	3.56129212168987e-05	0.414561992544867	1.19503518192232e-10	0.125814484795161	0.564216446624766	0.413639996115205	0.125814484795161	0.156646808061327	0.0668216521638874	0.564216446624766	0.564216446624766	0.0750529402296105
0.489588867273954	0.613834822774651	2.57218195631737e-07	0.00247258563322461	0.0772584750342176	0.308565659227635	0.160347057488106	0	0	2.93110891114168e-08	0	0	8.27921164070489e-07	1.12763469672927e-06	0.154026431758591	7.15807413342873e-11	0.00732645046334435	0.382540961381551	0.00123539172791576	NA	0.0404212167076143	0.705180590163574	0.0204328555191595	0.0676684070935556	0.0462030721989111	0.00469861273502548	0.592420136932005	0.705180590163574	0.352788059756074	0.511828473385995	NA	0.511828473385995	NA	0.705180590163574	0.000111854352254692	0.592420136932005	0.000299901048426587	0.888635228292359	0.705180590163574	0.592420136932005	0.315291868462433	0.352788059756074	0.229306137931824	0.705180590163574	0.705180590163574	0.0266899541768248
0.831488972916972	0.591627792426145	1.45439216225896e-13	0.185149964960866	0.607105821160896	0.900175247486508	0.186989385916119	0.151256772455637	0.254912864212016	0.203825236678727	0.000125047810154211	0.00391190821923981	4.44089209850063e-16	0	0.775982039976074	0.00584682221827526	0.0085928660603134	0.685267795150438	0.231776767977196	0.0404212167076143	NA	0.810770411197034	0.198595776191653	0.0832752956976459	0.207344489340174	0.060219794170485	0.734775019524184	0.810770411197034	0.556543663265244	0.0326924935488382	NA	0.678045959139736	NA	0.810770411197034	0.0147050141521119	0.734775019524184	0.0159082369640435	0.525155186556068	0.810770411197034	0.734775019524184	0.525155186556068	0.556543663265244	0.446872836808735	0.810770411197034	0.810770411197034	0.207819222997703
0.90249772683704	0.943893281504742	0.0319658227160775	0.80201949055847	0.607173471645286	0.745042807208615	0.868662485036477	0.550945621527516	0.551961487591613	0.13126285795406	0.277879052979109	0.33714587448111	0.0139550741032668	0.012817118785122	0.905835145258112	0.592290414372727	0.628910181832887	0.866207652135781	0.564216446624766	0.705180590163574	0.810770411197034	NA	0.729939516283074	0.724597934254372	0.868662485036478	0.769819168570544	0.964550128587745	0.974941421733286	0.938517849017516	0.956568621555444	NA	0.956568621555444	NA	0.974941421733286	0.749278099398207	0.964550128587745	0.710270575056648	0.93356971898034	0.974941421733286	0.964550128587745	0.93356971898034	0.938517849017516	0.920521716519814	0.974941421733286	0.974941421733286	0.76530020579363
0.735807007045809	0.43921126864939	1.38715862245675e-05	4.92263172446883e-07	0.177077490129367	5.23533677230237e-05	6.23296367829873e-06	0.030375972878983	0.0175362264248111	0.0749885235503187	0.00287691167224668	0.394200112070076	9.51979157421956e-05	3.48036297965759e-05	0.00219957261737536	5.36193311972966e-12	0.702945903158947	0.52904563418206	0.00225499382744543	0.0204328555191595	0.198595776191653	0.729939516283074	NA	0.00885565518512954	1.07912345725936e-10	0.0389452237442596	0.0712881700968993	0.729939516283074	0.39654883976722	0.549478730998799	NA	0.202939315642512	NA	0.729939516283074	0.034634060033506	0.625230562986362	0.0266087720151298	0.359555686920026	0.729939516283074	0.625230562986362	0.359555686920026	0.633017357422754	0.272720966875181	0.729939516283074	0.729939516283074	1.27421874385192e-07
0.266211509525502	0.523088332191175	2.65880307563915e-05	0.00685804251334798	0.106326334374064	0.000118828596476384	5.43218346749086e-07	0.218449147497876	0.151304891745532	0.00122568927760902	0.197723695951843	0.799733453502134	1.74459098161162e-05	5.90742432260427e-06	0.213068611876698	0	0.65095200573977	1.05248121329282e-09	0.00265076000298725	0.0676684070935556	0.0832752956976459	0.724597934254372	0.00885565518512954	NA	0.0124838579443991	0.0555640824160113	0.618118919575251	0.724597934254372	0.386885702005245	0.541280020032213	NA	0.541280020032213	NA	0.724597934254372	0.00116217824021669	0.618118919575251	0.000363950388224676	0.784790574970403	0.724597934254372	0.0788880619453192	0.00706303406037012	0.386885702005245	0.262954502705489	0.724597934254372	0.724597934254372	3.85979872508102e-07
0.518949368074816	0.711014499245016	0.0515628635901086	3.33066907387547e-15	6.78889356331425e-06	7.85756143706351e-07	0	0.0069104923386436	0.00709096168801837	3.33563399024239e-05	0.184351666074375	0.424775302098479	0.0320519450389505	0.0342086818436054	1.05875098264097e-05	6.66133814775094e-16	0.0404737363132863	0.763029920700567	0.00961843679925511	0.0462030721989111	0.207344489340174	0.868662485036478	1.07912345725936e-10	0.0124838579443991	NA	0.00041994790877542	0	0.868662485036478	0.684698510400236	0.77434573303551	NA	0.77434573303551	NA	0.868662485036478	0.0922714819241723	0.815009633460725	0.173933188359437	0.66079495640353	0.868662485036478	0.815009633460725	0.66079495640353	0.684698510400236	0.59938862063884	0.868662485036478	0.868662485036478	0.203922703410229
0.858852805272667	0.314930253819852	0.0828590842482797	0.897400358785019	0.0535728022636199	0.0651291484085843	0.413309804571716	0.00803474724254905	0.00846787030991281	0.157012529411808	0.866012856447835	0.430951467546655	0.01090755504159	0.00809044345677967	0.0587973227401029	7.00126172592519e-08	0.347639864829582	2.54125473997391e-08	0.0317519954621752	0.00469861273502548	0.060219794170485	0.769819168570544	0.0389452237442596	0.0555640824160113	0.00041994790877542	NA	0.678853263103908	0.769819168570544	0.472385863217703	0.61191557989779	NA	0.102041161901323	NA	0.769819168570544	0.0294431039150103	0.678853263103908	0.016615819002864	0.437405565066965	0.769819168570544	0.678853263103908	0.0418750872291651	0.0204885606805698	0.352557568178781	0.769819168570544	0.769819168570544	1.03849458876759e-06
0.862386568048517	0.920679359031325	0.509558010021925	0.00817903543159226	0.312164264954176	0.0518751169001979	3.00666041475051e-05	0.398753904680832	0.399957484265711	0.0326378367674756	0.90746556094469	0.954328941804147	0.564891156823893	0.569639354169661	0.867074600744633	0.346922131882258	0.494093721887881	0.811584336167256	0.414561992544867	0.592420136932005	0.734775019524184	0.964550128587745	0.0712881700968993	0.618118919575251	0	0.678853263103908	NA	0.964550128587745	0.913094274110545	0.938578752575473	NA	0.938578752575473	NA	0.964550128587745	0.651121014297587	0.949858035046091	0.599132941695038	0.906115627965381	0.964550128587745	0.949858035046091	0.906115627965381	0.913094274110545	0.887731314219558	0.964550128587745	0.964550128587745	0.67273276567662
0.90249772683704	0.943893281504742	0.641144081121704	0.80201949055847	0.607173471645286	0.745042807208615	0.868662485036477	0.0937948491019822	0.0929575283707738	0.507912651844681	0.277879052979109	0.33714587448111	0.684164433835221	0.687806257218102	0.905835145258112	0.592290414372727	0.628910181832887	0.866207652135781	0.0830611956383516	0.705180590163574	0.810770411197034	0.974941421733286	0.729939516283074	0.724597934254372	0.868662485036478	0.769819168570544	0.964550128587745	NA	0.938517849017516	0.956568621555444	NA	0.956568621555444	NA	0.974941421733286	0.749278099398207	0.964550128587745	0.710270575056648	0.93356971898034	0.974941421733286	0.964550128587745	0.93356971898034	0.938517849017516	0.920521716519814	0.974941421733286	0.974941421733286	0.000795965704113222
0.763545179321391	0.862795099191127	0.321756263295462	0.538064615099562	0.454227875718257	0.424515531025363	0.684698510400237	0.185357756761654	0.183002568130228	0.880122034578182	0.306466931390676	0.123883117809195	0.178960787352075	0.168549722743309	0.771447422139559	0.188351077394961	0.0517132747888041	0.679077885967833	0.635639775494544	0.352788059756074	0.556543663265244	0.938517849017516	0.39654883976722	0.386885702005245	0.684698510400236	0.472385863217703	0.913094274110545	0.938517849017516	NA	0.8936155720175	NA	0.8936155720175	NA	0.938517849017516	0.432525862556108	0.913094274110545	0.36156836687893	0.837819128175748	0.938517849017516	0.913094274110545	0.837819128175748	0.84977459227089	0.806448142804101	0.938517849017516	0.938517849017516	0.463475634907233
0.831795435938963	0.902884638304419	0.484230922078729	0.663759875551914	0.0512022142059498	0.572876694734936	0.774345733035511	0.301088299600009	0.302322723084981	0.173394873079486	0.662087583515782	0.611578476284519	0.342773576627339	0.331088052729082	0.837498328321208	0.353097585126067	0.0347375184841745	0.770206753234546	0.317389623513475	0.511828473385995	0.0326924935488382	0.956568621555444	0.549478730998799	0.541280020032213	0.77434573303551	0.61191557989779	0.938578752575473	0.956568621555444	0.8936155720175	NA	NA	0.924774660692061	NA	0.956568621555444	0.57949369806653	0.938578752575473	0.519494280227558	0.885091849092009	0.956568621555444	0.938578752575473	0.885091849092009	0.8936155720175	0.862659326660682	0.956568621555444	0.956568621555444	0.604737200745451
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0.831795435938963	0.902884638304419	0.418978577688324	0.663759875551914	0.597246034400219	0.572876694734936	0.774345733035511	0.301088299600009	0.302322723084981	0.25090223267292	0.110287537941	0.516847989701583	0.480604305950897	0.485964660534702	0.837498328321208	0.646416261756722	0.402053904866764	0.770206753234546	0.317389623513475	0.511828473385995	0.678045959139736	0.956568621555444	0.202939315642512	0.541280020032213	0.77434573303551	0.102041161901323	0.938578752575473	0.956568621555444	0.8936155720175	0.924774660692061	NA	NA	NA	0.956568621555444	0.57949369806653	0.938578752575473	0.519494280227558	0.885091849092009	0.956568621555444	0.938578752575473	0.885091849092009	0.8936155720175	0.862659326660682	0.956568621555444	0.956568621555444	0.112054546020026
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
