RecA (7145)	SSBa (7210)	RecJ (5714)	RecQ (6998)	RecF (6242)	RecO (6824)	RecR (7119)	RecB (1823)	RecC (1860)	RecD (5324)	AddA (3955)	AddB (3716)	AdnA (1298)	AdnB (1300)	S1A (46)	S1B (56)	SPARTA (60)	S2B (101)	LongA (83)	LongB (121)	Schlafen (9)	Any (445)
0.0017896101567505	0.680283845504082	0	0.0396852962798984	0.00879375113230019	0.474538494773169	0.869143091997621	0	0	0	NA	0	0	0	0.00119781215739079	0.00203890773142601	6.88177936680745e-06	0.0166692115527476	0.466579832228362	4.17361657523152e-06	0.0512395064203308	1.39625422335143e-10
0.0149706338436018	0.336524834726713	0	2.66352655700075e-05	1.27327033243585e-05	0.774520935653973	0.239710900991726	0	0	0	0	NA	0	0	0.000724992246172729	0.00243462977788012	5.9096527293967e-07	0.00801446601362965	0.732524586847233	3.75114099782081e-08	0.0811727044417738	2.09166017839379e-13
0.350830457526965	0.0369009401333888	0	2.05493400073919e-11	0	2.51580978272159e-11	2.81937818202849e-06	9.33560629245989e-07	9.36764537051715e-08	1.52981675305419e-05	0	0	NA	0	0.00148196865529737	0.0349551621353523	0.000279416202575211	0.982284069806379	1.85754575099395e-05	0.000451837487632556	0.160973167982008	9.40270084015538e-11
0.495002295425987	0.0946232612522118	0	6.09126082906641e-11	0	5.64392976798445e-11	2.37077846516609e-05	6.37752656462709e-06	1.51510108614694e-06	7.01553427795432e-06	0	0	0	NA	0.00146678635145436	0.0345996805479687	0.000275741451454259	0.771339222076221	1.82425113810503e-05	0.000441962519369898	0.593511172968683	8.6941565058396e-11
0.672373439656998	0.61684416509435	0.000419634937838476	0.197596019193981	0.8675166341972	0.848693721901309	0.357934317511061	0.381345406980766	0.342545507972163	0.68398912164982	0.00119781215739079	0.000724992246172729	0.00148196865529737	0.00146678635145436	NA	0.276192423297309	0.312091728633175	0.418712233003585	0.510584483476452	0.00018937395291152	0.810446771459653	0
0.364822348798619	0.580658032767726	0.00986791405118836	0.15485162958694	0.10163471512592	0.0608346222799825	0.996551467399154	0.73776253539598	0.466919352989837	0.7913661970928	0.00203890773142601	0.00243462977788012	0.0349551621353523	0.0345996805479687	0.276192423297309	NA	2.22044604925031e-16	0.000227721208029941	0.651011999117046	0.945536923168488	0.791145604822313	0
0.214328490635108	0.567340644330269	5.50583014340411e-05	0.140764586777986	0.381535074927873	0.0522520966765523	0.293279102562951	0.00660822312413578	0.00528740929509564	0.0749533518450103	6.88177936680745e-06	5.9096527293967e-07	0.000279416202575211	0.000275741451454259	0.312091728633175	2.22044604925031e-16	NA	0.355248388950542	0.702950229555542	0.312394737104116	0.783935207400954	0
0.705201145961522	0.456739040334904	0.406188982236393	0.0552853965361511	0.765315190684137	0.0115427260684644	0.171473148146395	0.000879678631547698	0.000619712675876238	0.967597974815655	0.0166692115527476	0.00801446601362965	0.982284069806379	0.771339222076221	0.418712233003585	0.000227721208029941	0.355248388950542	NA	0.426962153782537	0.00953442135505478	0.01281487756908	0
0.0930550433910899	0.403640128107882	8.14781963758282e-05	0.199264514750861	0.880766987357572	0.00394230345509339	0.00348345689850404	1.74387479372484e-05	1.21843459419679e-05	0.215156658305159	0.466579832228362	0.732524586847233	1.85754575099395e-05	1.82425113810503e-05	0.510584483476452	0.651011999117046	0.702950229555542	0.426962153782537	NA	0.739831447723087	2.62711985499209e-09	0
0.570513665478711	0.414653292835553	2.90808227885186e-05	0.0356567019344312	0.202475438605564	0.11014967330799	0.133903006564919	4.00491159795457e-05	6.34354291824124e-05	0.223229276421948	4.17361657523152e-06	3.75114099782081e-08	0.000451837487632556	0.000441962519369898	0.00018937395291152	0.945536923168488	0.312394737104116	0.00953442135505478	0.739831447723087	NA	0.695763631594745	0
